Trait Name,Tier-1,Tier-2,Tier-3,Tier-4,Tier-5,Tier-6,Tier-7
Anima Squad,3,5,7,10,,,
BoomBots,2,4,6,,,,
Cyberboss,2,3,4,,,,
Cypher,3,4,5,,,,
Divinicorp,1,2,3,4,5,6,7
Exotech,3,5,7,10,,,
God of the Net,1,,,,,,
Golden Ox,2,4,6,,,,
Nitro,3,4,,,,,
Overlord,1,,,,,,
Soul Killer,1,,,,,,
Street Demon,3,5,7,10,,,
Syndicate,3,5,7,,,,
Virus,1,,,,,,
A.M.P.,2,3,4,5,,,
Bastion,2,4,6,,,,
Bruiser,2,4,6,,,,
Dynamo,2,3,4,,,,
Executioner,2,3,4,5,,,
Marksman,2,4,,,,,
Rapidfire,2,4,6,,,,
Slayer,2,4,6,,,,
Strategist,2,3,4,5,,,
Techie,2,4,6,8,,,
Vanguard,2,4,6,,,,
