Trait Name,Tier-1,Tier-2,Tier-3,Tier-4,Tier-5,Tier-6,Tier-7,Tier-8,Tier-9,Tier-10
Bastion,2,4,6,,,,,,,
Battle Academia,3,5,7,,,,,,,
Crystal Gambit,3,5,7,10,,,,,,
Duelist,2,4,6,,,,,,,
Edgelord,2,4,6,,,,,,,
Executioner,2,3,4,5,,,,,,
Heavyweight,2,4,6,,,,,,,
Juggernaut,2,4,6,,,,,,,
Luchador,3,4,,,,,,,,
Mentor,1,2,4,,,,,,,
Mighty Mech,3,5,7,,,,,,,
Monster Trainer,1,,,,,,,,,
Prodigy,2,3,4,5,,,,,,
Protector,2,4,6,,,,,,,
Rogue Captain,1,,,,,,,,,
Rosemother,1,,,,,,,,,
Sniper,2,3,4,5,,,,,,
Sorcerer,2,4,6,,,,,,,
Soul Fighter,2,4,6,8,,,,,,
Stance Master,1,,,,,,,,,
Star Guardian,2,3,4,5,6,7,8,9,10,
Strategist,2,3,4,5,,,,,,
Supreme Cells,2,3,4,,,,,,,
The Champ,1,,,,,,,,,
The Crew,2,3,5,,,,,,,
Wraith,2,4,6,,,,,,,
